"date","count","package","version"
2021-01-17,12,"rjdqa","rjdqa_0.1.1"
2021-01-18,12,"rjdqa","rjdqa_0.1.1"
2021-01-19,12,"rjdqa","rjdqa_0.1.1"
2021-01-20,14,"rjdqa","rjdqa_0.1.1"
2021-01-21,13,"rjdqa","rjdqa_0.1.1"
2021-01-22,4,"rjdqa","rjdqa_0.1.1"
2021-01-23,12,"rjdqa","rjdqa_0.1.1"
2021-01-24,9,"rjdqa","rjdqa_0.1.1"
2021-01-25,21,"rjdqa","rjdqa_0.1.1"
2021-01-26,9,"rjdqa","rjdqa_0.1.1"
2021-01-27,18,"rjdqa","rjdqa_0.1.1"
2021-01-28,6,"rjdqa","rjdqa_0.1.1"
2021-01-29,12,"rjdqa","rjdqa_0.1.1"
2021-01-30,13,"rjdqa","rjdqa_0.1.1"
2021-01-31,10,"rjdqa","rjdqa_0.1.1"
2021-02-01,17,"rjdqa","rjdqa_0.1.1"
2021-02-02,15,"rjdqa","rjdqa_0.1.1"
2021-02-03,14,"rjdqa","rjdqa_0.1.1"
2021-02-04,16,"rjdqa","rjdqa_0.1.1"
2021-02-05,6,"rjdqa","rjdqa_0.1.1"
2021-02-06,16,"rjdqa","rjdqa_0.1.1"
2021-02-07,18,"rjdqa","rjdqa_0.1.1"
2021-02-08,15,"rjdqa","rjdqa_0.1.1"
2021-02-09,15,"rjdqa","rjdqa_0.1.1"
2021-02-10,16,"rjdqa","rjdqa_0.1.1"
2021-02-11,21,"rjdqa","rjdqa_0.1.1"
2021-02-12,17,"rjdqa","rjdqa_0.1.1"
2021-02-13,16,"rjdqa","rjdqa_0.1.1"
2021-02-14,9,"rjdqa","rjdqa_0.1.1"
2021-02-15,16,"rjdqa","rjdqa_0.1.1"
2021-02-16,13,"rjdqa","rjdqa_0.1.1"
2021-02-17,19,"rjdqa","rjdqa_0.1.1"
2021-02-18,18,"rjdqa","rjdqa_0.1.1"
2021-02-19,16,"rjdqa","rjdqa_0.1.1"
2021-02-20,14,"rjdqa","rjdqa_0.1.1"
2021-02-21,16,"rjdqa","rjdqa_0.1.1"
2021-02-22,22,"rjdqa","rjdqa_0.1.1"
2021-02-23,7,"rjdqa","rjdqa_0.1.1"
2021-02-24,22,"rjdqa","rjdqa_0.1.1"
2021-02-25,15,"rjdqa","rjdqa_0.1.1"
2021-02-26,22,"rjdqa","rjdqa_0.1.1"
2021-02-27,14,"rjdqa","rjdqa_0.1.1"
2021-02-28,10,"rjdqa","rjdqa_0.1.1"
2021-03-01,11,"rjdqa","rjdqa_0.1.1"
2021-03-02,23,"rjdqa","rjdqa_0.1.1"
2021-03-03,19,"rjdqa","rjdqa_0.1.1"
2021-03-04,16,"rjdqa","rjdqa_0.1.1"
2021-03-05,17,"rjdqa","rjdqa_0.1.1"
2021-03-06,14,"rjdqa","rjdqa_0.1.1"
2021-03-07,11,"rjdqa","rjdqa_0.1.1"
